Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,Project: Primary PI: Full Name,Project: Other Principal Investigators,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date
BMG-24-10015: Consumer Protection Research Initiative II,Gates Foundation,Grant Award,Preventing SME Default through Loan Stabilization,,PI: Christopher Eaglin,5/13/2024,1,1,,1,Allocation,7/15/2024
BMG-24-10015: Consumer Protection Research Initiative II,Gates Foundation,Grant Award,Preventing SME Default through Loan Stabilization,,PI: Christopher Eaglin,5/13/2024,1,1,,1,External Subaward,7/15/2024
BMG-24-10015: Consumer Protection Research Initiative II,Gates Foundation,Grant Award,Digital Payments Spillovers Consumer Reallocation and Flexible Credit,,PI: Rowan Clarke,5/13/2024,1,1,,1,Allocation,7/15/2024
BMG-24-10015: Consumer Protection Research Initiative II,Gates Foundation,Grant Award,Digital Payments Spillovers Consumer Reallocation and Flexible Credit,,PI: Rowan Clarke,5/13/2024,1,1,,1,External Subaward,7/15/2024
BMG-24-10015: Consumer Protection Research Initiative II,Gates Foundation,Grant Award,Price Comparison Tools and Their Effect on Consumer Credit,,PI: Sean Higgins,5/13/2024,1,1,LAC-Other,1,Allocation,7/15/2024
RTV Data Warehouse,The Agency Fund,Grant Proposal,RTV Data Warehouse (GRDS),,,9/4/2025,0,1,Uganda,0,Allocation,9/5/2025
JCF-24-10011: Partnerships for Technology in Education (P4T-Ed),Jacobs Foundation,Grant Award,P4T - EdTech - Edulution - Optimizing Edulution?s Blended Learning and Coaching,,,9/5/2023,1,1,,0,Allocation,1/12/2024
EDUN-25-10001: P4T - EdTech - Edulution - Optimizing Edulution?s Blended Learning and Coaching,Edulution,Grant Award,P4T - EdTech - Edulution - Optimizing Edulution?s Blended Learning and Coaching,,,3/31/2025,1,1,,0,Allocation,10/3/2025
Baseline Quantitative Data Collection for Piloting Alternative Fertilizer Subsidy Schemes in Kenya,International Food Policy Research Institute (IFPRI),Grant Proposal,Baseline Quantitative Data Collection for Piloting Alternative Fertilizer Subsid,,,9/14/2025,0,1,Kenya,0,Allocation,9/15/2025
NGS - Using AI for Agric Extension Services,National Geographic,Grant Proposal,Assisting Farmers with Extension Services through Artificial Intelligence,Nicolo Tomaselli,PI: Eliasu Salifu,9/30/2025,0,1,Ghana,0,Allocation,9/30/2025
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Comms Support,,,5/11/2022,1,1,,0,Allocation,8/17/2022
TaRL Africa Baseline and Monitoring Study,Teaching at the Right Level (TARL),Grant Proposal,TaRL Africa Baseline and Monitoring Study,,,9/18/2025,0,1,Nigeria,0,Allocation,9/18/2025
Digital Agriculture Extension Interventions Evaluation,Michigan State University,Grant Proposal,Evaluating Digital Agriculture Extension (EDAE),,,9/19/2025,0,1,Kenya,0,Allocation,9/19/2025
NOVAH-25-10001: Twubakane Radio Drama Evaluation,No Violence At Home (NOVAH),Grant Award,Twubakane Radio Drama Evaluation,Dylan Groves,,6/19/2025,1,1,Rwanda,0,Allocation,10/21/2025
FCDO-24-10001: Strategic Impact Evaluation and Learning (SIEL),Foreign Commonwealth & Development Office (FCDO) ACCOUNTABLE GRANT AGREEMENT,Grant Award,Anticipatory Education Support During Climate Crises in Kenya,Stefan Dercon,"PI: Noam Angrist , Rocco Zizzamia , Nithya Srinivasan",8/25/2023,1,1,Kenya,0,External Subaward,3/8/2024
See Change - Data Quality support,Makerere Innovation and Incubation Center,Grant Proposal,See Change Endline Data Quality support,,,9/1/2025,0,1,Uganda,0,Allocation,9/1/2025
UNDP Stocktaking of M&E institutional arrangements,United Nations Development Program (UNDP),Grant Proposal,UNDP Stocktaking of M&E institutional arrangements,,,10/10/2025,0,1,Philippines,0,Allocation,10/10/2025
CIFF Learning Partnership,Children's Investment Fund Foundation (CIFF),Grant Proposal,CIFF Learning Partnership,,,6/20/2025,0,1,,0,Allocation,6/20/2025
OSF Funding for Ceasefire Mexico,Open Society Foundations,Grant Proposal,Ceasefire scale up,,,8/27/2025,0,1,Mexico,0,Allocation,8/15/2025
Citizen Deliberation Assemblies,Toulouse School of Economics,Grant Proposal,Citizen Deliberation Assemblies,,,10/6/2025,0,1,Colombia,0,Allocation,10/10/2025
Exploring New Methods of Measuring Food Loss & Waste in Kenya,International Food Policy Research Institute (IFPRI),Grant Proposal,Exploring New Methods of Measuring Food Loss & Waste in Kenya,,,10/9/2025,0,1,Kenya,0,Allocation,10/9/2025
WFP Home-Grown School Feeding Program Process Evaluation and Process Tracing,United Nations World Food Programme,Grant Proposal,WFP Home-Grown School Feeding Program Process Evaluation and Process Tracing,,,10/20/2025,0,1,Philippines,0,Allocation,10/20/2025
ERC Starting Grant 2026,European Research Council (ERC),Grant Proposal,PES for Burning Crop Residues,,,10/13/2025,0,1,Mexico,0,Allocation,10/15/2025
Being - Emerging Stressors for Youth Mental Health & Wellbeing,Being Initiative,Grant Proposal,Being - Emerging Stressors for Youth Mental Health & Wellbeing,,,9/22/2025,0,1,Colombia,0,Allocation,9/22/2025
Evaluation of watotoCare in Tanzania,Fund for Innovation in Development (FID),Grant Proposal,Touch Health,,,10/16/2025,0,1,Tanzania,0,Allocation,10/16/2025
Stillbirth/Pregnancy Loss in Zambia,Swiss National Science Foundation,Grant Proposal,Pregnancy Loss,,,10/21/2025,0,1,Zambia,0,Allocation,10/21/2025
CIS6510 Global Impact Grant ­US - PPI,Cisco Systems Foundation,Grant Award,,,,6/3/2016,1,1,,0,,7/25/2016
WEL6018 Strengthening the evidence base for IPV prevention (includes subcontract to IRC),Wellspring Philanthropic Fund,Grant Award,,,,5/17/2016,1,1,,0,,8/19/2016
BMG5753 Core operating support 2017-2018,Gates Foundation,Grant Award,,,,5/9/2017,1,1,,0,,6/9/2017
"Better Than Cash Diagnostics: Ghana, Kenya, Rwanda, Sierra Leone, and Liberia",United Nations Capital Development Fund (UNCDF),Grant Proposal,,,,10/6/2016,0,1,,0,,10/6/2016
WFH5985 Core Operating Support 2017-2018,The William and Flora Hewlett Foundation,Grant Award,,,,5/8/2017,1,1,,0,,6/6/2017
HWG0004 Horace Goldsmith Foundation Unrestricted Grant,Horace W. Goldsmith Foundation,Grant Award,,,,2/24/2017,1,1,,0,,4/14/2017
Agriculture Sector Policy Engagement (Kenya),Massachusetts Institute of Technology (MIT),Grant Proposal,,,,3/31/2016,0,1,,0,,3/31/2016
WEL4986 SME Initiative: Renewal,Wellspring Philanthropic Fund,Grant Award,,,,2/28/2014,1,1,,0,,6/24/2014
MAR0007 Marshall Fdn No 7,"Douglas B. Marshall, Jr. Family Foundation",Grant Award,,,,4/7/2014,1,1,,0,,10/1/2014
MAR0007 Marshall Fdn No 7,"Douglas B. Marshall, Jr. Family Foundation",Grant Award,,,,4/7/2014,1,1,,0,,10/1/2014
WEL5929 Core Funding (2016-2017),Wellspring Philanthropic Fund,Grant Award,,,,2/26/2016,1,1,,0,,4/15/2016
JPM2697: Disseminating Key Lessons from Financial Inclusion Research,J.P. Morgan Chase,Grant Award,,,,9/30/2015,1,1,,0,,12/22/2015
Drucker Nonprofit Innovation Award,Drucker Institute,Grant Proposal,,,,7/1/2015,0,1,,0,,7/1/2015
Research on Improving Systems of Education (RISE) - Ghana,Oxford Policy Management,Grant Proposal,,,,11/15/2015,0,1,,0,,11/16/2015
Expanding Access to Finance for SMEs in Africa,Economic and Social Research Council (ESRC),Grant Proposal,,,,7/2/2015,0,1,,0,,7/2/2015
RPA0001: Program Feedback (Multiple Countries),Fund for Shared Insight,Grant Award,,,,11/20/2015,1,1,,0,,1/13/2016
WFH3038 For engaging decision-makers in the creation and use of rigorous evidence,The William and Flora Hewlett Foundation,Grant Award,,,,9/21/2015,1,1,,0,,12/1/2015
Porpoise GN Policy Proposal,Porticus,Grant Proposal,,,,6/4/2015,0,1,,0,,6/4/2015
BMG0206 IPA's Information Systems: Implementing a Global Enterprise Architecture (US),Gates Foundation,Grant Award,,,,4/27/2015,1,1,,0,,11/19/2015
WEL4986 SME Initiative: Renewal,Wellspring Philanthropic Fund,Grant Award,,,,2/28/2014,1,1,,0,,6/24/2014
KAU0048: SME Young Scholars,Ewing Marion Kauffman Foundation,Grant Award,,,,12/10/2014,1,1,,0,,3/27/2015
BMG4464 - Gates ID OPP1114464 Financial Services for the Poor Research Fund_US,Gates Foundation,Grant Award,,,,4/9/2015,1,1,,0,Allocation,6/4/2015
WEL5694 IPA Policy Outreach: Supplement  Award 5694 (Internal PI model),Wellspring Philanthropic Fund,Grant Award,,,,7/17/2015,1,1,,0,,9/30/2015
OMI0003 Omidyar Effective Solutions to Education,Omidyar Network,Grant Award,,,,5/2/2014,1,1,,0,,1/27/2015
WEL5067  Social Protection Core Funding,Wellspring Philanthropic Fund,Grant Award,,,,4/17/2014,1,1,,0,,5/1/2014
Policy Staff Funding Ask - Porticus (Bangladesh),Porticus,Grant Proposal,,,,3/17/2015,0,1,,0,,3/17/2015
WB Proposal Rwanda Education Policy Dashboard,World Bank,Grant Proposal,,,,5/20/2019,0,1,,0,,5/20/2019
MIT-19-20017 PPE Policy Funding for Ghana Evidence Day 2019,Massachusetts Institute of Technology (MIT),Grant Award,,,,6/21/2019,1,1,,0,,7/31/2019
GBV: SVRI,Sexual Violence Research Initiative,Grant Proposal,,,,9/5/2018,0,1,,0,,8/15/2018
EGF-19-10003 Echidna ECE Integrated Programming in Ghana,The Echidna Giving Fund,Grant Award,,,,5/28/2019,1,1,,0,,5/31/2019
EAF-19-10001: Police Strategic Course Colombia (Colombia),EAFIT,Grant Award,,,,4/8/2019,1,1,,0,,4/8/2019
MCT-18-10001 Ghana Education Embedded Evidence Lab,Gower Street (formerly Marple Charitable Trust),Grant Award,,,,5/20/2018,1,1,,0,,12/11/2018
UNP-18-10004: UNDP Normalization Roadmap Workshop (Philippines),United Nations Development Program (UNDP),Grant Award,,,,12/3/2018,1,1,,0,,1/28/2019
TGF0001 Integrated evidence-informed partnerships with three ministries of education,Bainum Family Foundation,Grant Award,,,,2/12/2018,1,1,,0,Placeholder,7/10/2018
AES0003 Integrated evidence-informed partnerships with three ministries of education,AESTUS Foundation,Grant Award,,,,10/31/2017,1,1,,0,,3/19/2018
MWV-18-10001: MIMP - Impact evaluation design on male intervention (Peru),"Ministry of Women and Vulnerable Populations, Peru",Grant Award,,,,10/24/2018,1,1,,0,,11/23/2018
NYU-18-10001: RA to Support the Central Bank of Colombia (Colombia),New York University,Grant Award,,,,10/12/2018,1,1,,0,,10/31/2018
"UCLA-18-10001- RCT training PRG, Ghana","University of California, Los Angeles",Grant Award,,,,6/29/2018,1,1,,0,,10/25/2018
Child Labor - Impaq International - ILAB,IMPAQ International,Grant Proposal,,,,6/26/2018,0,1,,0,,6/26/2018
MIT3953: J-PAL Office contract (Peru),Massachusetts Institute of Technology (MIT),Grant Award,,,,8/28/2018,1,1,,0,,8/3/2018
Rwanda Child Nutrition Improvement through Nutrition Sensitive Agriculture -Phase 2 named ?KOICA II,World Vision,Grant Proposal,,,,8/22/2018,0,1,,0,,8/22/2018
SLO9826 - Applications of behavioural  economics and welfare analysis,Alfred P. Sloan Foundation,Grant Award,,,,4/19/2017,1,1,,0,Placeholder,4/19/2017
"Better Than Cash Diagnostics: Ghana, Kenya, Rwanda, Sierra Leone, and Liberia",United Nations Capital Development Fund (UNCDF),Grant Proposal,,,,10/6/2016,0,1,,0,,10/6/2016
"Better Than Cash Diagnostics: Ghana, Kenya, Rwanda, Sierra Leone, and Liberia",United Nations Capital Development Fund (UNCDF),Grant Proposal,,,,10/6/2016,0,1,,0,,10/6/2016
"Better Than Cash Diagnostics: Ghana, Kenya, Rwanda, Sierra Leone, and Liberia",United Nations Capital Development Fund (UNCDF),Grant Proposal,,,,10/6/2016,0,1,,0,,10/6/2016
"Better Than Cash Diagnostics: Ghana, Kenya, Rwanda, Sierra Leone, and Liberia",United Nations Capital Development Fund (UNCDF),Grant Proposal,,,,10/6/2016,0,1,,0,,10/6/2016
"Better Than Cash Diagnostics: Ghana, Kenya, Rwanda, Sierra Leone, and Liberia",United Nations Capital Development Fund (UNCDF),Grant Proposal,,,,10/6/2016,0,1,,0,,10/6/2016
WVI0001 BalanceD MERL with USAID_US,World Vision,Grant Award,,,,12/1/2015,1,1,,0,,1/15/2016
NILE001 Moving Evidence to Impact,Henry E. Niles Foundation,Grant Award,,,,9/25/2015,1,1,,0,,12/18/2015
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,,,,9/28/2015,1,1,,0,Placeholder,4/9/2018
JPAL GI Proposal re Governance Conference in Colombia,Massachusetts Institute of Technology (MIT),Grant Proposal,,,,5/16/2016,0,1,,0,,5/16/2016
Boeing Core Funding_Philippines,Boeing,Grant Proposal,,,,4/25/2016,0,1,,0,,3/31/2016
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,,,,9/28/2015,1,1,,0,Placeholder,4/9/2018
TGF-19-10001 Creating an Evidence Based & Locally Informed Strategy for Improving Early Childhood Outcomes in Nyarugusu,Bainum Family Foundation,Grant Award,,,,9/9/2019,1,1,,0,Allocation,11/7/2019
JCF-19-10001 - Contract for Jacobs Foundation and TRECC own MEL advisory (Global and Cote d'Ivoire),Jacobs Foundation,Grant Award,,,,8/14/2019,1,1,,0,,10/18/2019
TGF0001 Integrated evidence-informed partnerships with three ministries of education,Bainum Family Foundation,Grant Award,,,,2/12/2018,1,1,,0,Placeholder,7/10/2018
WEL-19-10004 General Operating Support 14254,Wellspring Philanthropic Fund,Grant Award,,,,5/21/2019,1,1,,0,Placeholder,8/5/2019
BMG0014 Econ & Fin Models for Pricing & Setting Sanitation Tariffs for the Urban Poor,Gates Foundation,Grant Award,,,,9/25/2014,1,1,,0,,10/29/2014
ELM-20-10002-ELMA ECE Integrated Programming in Ghana,The ELMA Philanthropies,Grant Award,,,,4/15/2020,1,1,,0,,10/2/2020
WEL3233 - IPV Initiative Phase 2 ? Expanding the Evidence Base and Advancing Pilots Along the Path to Scale.,Wellspring Philanthropic Fund,Grant Award,,,,2/13/2018,1,1,,0,Allocation,6/18/2018
PRI-19-10001: RA to Support the Central Bank of Colombia (Colombia),Princeton University,Grant Award,,,,2/6/2019,1,1,,0,,3/12/2019
TGF0001 Integrated evidence-informed partnerships with three ministries of education,Bainum Family Foundation,Grant Award,,,,2/12/2018,1,1,,0,Placeholder,7/10/2018
TGF0001 Integrated evidence-informed partnerships with three ministries of education,Bainum Family Foundation,Grant Award,,,,2/12/2018,1,1,,0,Placeholder,7/10/2018
TGF0001 Integrated evidence-informed partnerships with three ministries of education,Bainum Family Foundation,Grant Award,,,,2/12/2018,1,1,,0,Placeholder,7/10/2018
MIT5478: Support for Oeindrila Dube (Colombia),Massachusetts Institute of Technology (MIT),Grant Award,,,,8/9/2018,1,1,,0,,9/12/2018
WEL3233 - IPV Initiative Phase 2 ? Expanding the Evidence Base and Advancing Pilots Along the Path to Scale.,Wellspring Philanthropic Fund,Grant Award,,,,2/13/2018,1,1,,0,Placeholder,6/18/2018
WEL2678 General Operations 2017,Wellspring Philanthropic Fund,Grant Award,,,,7/7/2017,1,1,,0,,10/11/2017
WEL-20-10008 Wellspring General Operating Support 15053,Wellspring Philanthropic Fund,Grant Award,,,,4/21/2020,1,1,,0,,5/26/2020
GSS-20-10001 : Technical Support to GSS,Ghana Statistical Service,Grant Award,,,,4/15/2020,1,1,,0,,5/29/2020
DFID Bangladesh Research for Effective COVID-19 Responses (RECOVR),United Kingdom Department for International Development (DFID),Grant Proposal,,,,4/2/2020,0,1,,0,,4/2/2020
PPE Event Funding for GEES 2020,Massachusetts Institute of Technology (MIT),Grant Proposal,,,,3/22/2020,0,1,,0,,3/22/2020
Research Methods Research - Phone Surveys,Northwestern University,Grant Proposal,,,,7/31/2020,0,1,,0,,7/31/2020
NSF-20-10001 RAPID: Combating the Spread of COVID-19: Testing Cost-EffectiveStrategies for Promoting Behavior Change,National Science Foundation (NSF),Grant Award,,,,5/12/2020,1,1,,0,,5/12/2020
Market Study on SMEs and Firm-level Survey of Women-led Small and Medium Enterprises in Zambia,World Bank,Grant Proposal,,,,12/12/2019,0,1,,0,,12/12/2019
Palladium - Rwanda PPI,Palladium International Limited,Grant Award,,,,4/16/2019,1,1,,0,,4/30/2019
SCI-20-10002 - Opportunity for Save the Children S2S program Impact Evaluation (Bangladesh),Save the Children International (SCI),Grant Award,,,,12/24/2019,1,1,,0,,1/29/2020
"CCT, information & illegal labor market",United States Department of Labor,Grant Proposal,,,,9/16/2019,0,1,,0,,9/16/2019
DoL proposal,United States Department of Labor,Grant Proposal,,,,9/16/2019,0,1,,0,,9/16/2019
LASER Network,Northwestern University,Grant Proposal,,,,4/30/2018,0,1,,0,,1/24/2018
NWU-19-10006 - Northwestern RM (Philippines),Northwestern University,Grant Award,,,,10/1/2019,1,1,,0,,1/23/2020
WEL-18-10001 Study of Community Media to Prevent Violence Against Women (Tanzania),Wellspring Philanthropic Fund,Grant Award,,,,9/1/2018,1,1,,0,,11/5/2018
P&R Proposal for Global Questions on Forced Displacement and Jobs,World Bank,Grant Proposal,,,,11/1/2018,0,1,,0,,8/24/2018
CEDIL - Forced Migration Evidence Synthesis,Centre of Excellence for Development Impact and Learning (CEDIL),Grant Proposal,,,,5/14/2019,0,1,,0,,5/14/2019
Philippines Low Tech Education Intervention,"Department of Education, Philippines",Grant Proposal,,,,4/13/2021,0,1,,0,,4/13/2021
ELM-20-10002-ELMA ECE Integrated Programming in Ghana,The ELMA Philanthropies,Grant Award,,,,4/15/2020,1,1,,0,,10/2/2020
TGF0001 Integrated evidence-informed partnerships with three ministries of education,Bainum Family Foundation,Grant Award,,,,2/12/2018,1,1,,0,Placeholder,7/10/2018
TGF0001 Integrated evidence-informed partnerships with three ministries of education,Bainum Family Foundation,Grant Award,,,,2/12/2018,1,1,,0,Allocation,7/10/2018
TGF0001 Integrated evidence-informed partnerships with three ministries of education,Bainum Family Foundation,Grant Award,,,,2/12/2018,1,1,,0,Placeholder,7/10/2018
TGF0001 Integrated evidence-informed partnerships with three ministries of education,Bainum Family Foundation,Grant Award,,,,2/12/2018,1,1,,0,Placeholder,7/10/2018
IGC-20-20020 - GN+Clusters COVID follow up (Zambia),International Growth Centre (IGC),Grant Award,,,,11/20/2020,1,1,,0,,11/20/2020
BMG-19-10001 FIP Consumer Protection,Gates Foundation,Grant Award,,,,8/29/2019,1,1,,0,Placeholder,10/30/2019
PPE Event Funding for GEES 2020,Massachusetts Institute of Technology (MIT),Grant Proposal,,,,3/22/2020,0,1,,0,,3/22/2020
WEL-21-10013 - Impact Fund and Scaling Evidence Use Program (Multiple Countries),Wellspring Philanthropic Fund,Grant Award,,,,7/6/2021,1,1,,0,Placeholder,10/7/2021
JCF-21-10005 -Ed Labs Pre-Design in Cote d'Ivoire and Ghana,Jacobs Foundation,Grant Award,,,,9/17/2021,1,1,,0,Allocation,9/13/2021
Uniti Smartphones proposal to DIV,United States Agency for International Development (USAID),Grant Proposal,,,,2/23/2022,0,1,,0,Placeholder,9/30/2021
BMG-20-10005 Evaluating New Deployments of L1P-aligned Payments Systems,Gates Foundation,Grant Award,,,,8/14/2020,1,1,,0,Placeholder,11/5/2020
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,,,,5/15/2018,1,1,,0,Placeholder,7/26/2018
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,,,,9/1/2020,1,1,,0,Placeholder,9/1/2020
BMG-23-10013: Generating Evidence on New Wave Graduation Programs,Gates Foundation,Grant Award,,,,9/14/2023,1,1,,0,Placeholder,11/8/2023
WEL-23-10016: IPV Initiative Phase 4,Wellspring Philanthropic Fund,Grant Award,,,,4/19/2023,1,1,,0,Placeholder,7/18/2023
LEGO-22-10007: LEGO Embedded Labs,LEGO Foundation,Grant Award,,,,6/8/2022,1,1,,0,Placeholder,10/27/2022
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,,,,4/29/2022,1,1,,0,Placeholder,11/18/2022
BMG-24-10015: Consumer Protection Research Initiative II,Gates Foundation,Grant Award,,,,5/13/2024,1,1,,0,Placeholder,7/15/2024
CIFF Learning Partnership,Children's Investment Fund Foundation (CIFF),Grant Proposal,,,,6/20/2025,0,1,,0,Placeholder,6/20/2025
Cash Transfers and Civic Engagement,International Growth Centre (IGC),Grant Proposal,,,,7/15/2018,0,1,,,,7/15/2018
Tax compliance and the timing of tax payments:  Experimental Evidence from Kenya,Center for Effective Global Action (CEGA),Grant Proposal,,,,2/21/2017,0,1,,,,2/21/2017
WBK2138: Year 2 Award Support for Pay for Performance (P4p) in Education,World Bank,Grant Award,,,,1/31/2017,1,1,,,,1/31/2017
WBK9253: Moving Beyond Conditional Cash Transfers in the (Dominican Republic),World Bank,Grant Award,,,,4/15/2016,1,1,,,,5/10/2016
Teacher Training and Entrepreneurship Education in Rwanda,Economic and Social Research Council (ESRC),Grant Proposal,,,,7/26/2016,0,1,,,,7/26/2016
DETEP Extreme Poverty - building evidence for effective Action (ExPov BEEA)),ODI (formerly Overseas Development Institute),Grant Proposal,,,,9/13/2019,0,1,,,,5/16/2019
Burkina Faso_Follow Up survey Cash transfer,Abdul Latif Jameel Poverty Action Lab (J-PAL),Grant Proposal,,,,4/9/2025,0,1,,,,4/9/2025
Drones for family planning commodity delivery,"University of North Carolina, Chapel Hill",Grant Proposal,,,,3/31/2019,0,1,,,,4/10/2019
OXU0004: John Fell Fund for Pay for performance among primary school teachers (Won),Oxford University,Grant Award,,,,1/13/2015,1,1,,,,6/30/2015
BA LME Qualitative Research,"Institute for Fiscal Studies, UK",Grant Proposal,,,,5/21/2019,0,1,,,,5/22/2019
Teacher Rotation and Student Outcomes,Massachusetts Institute of Technology (MIT),Grant Proposal,,,,6/30/2017,0,1,,,,6/30/2017
Measurement and data infrastructure for income and poverty metrics,The Agency Fund,Grant Proposal,,,,10/31/2024,0,1,,,,10/31/2024
NIH for BFAB endline,National Institutes of Health (NIH),Grant Proposal,,,,8/13/2018,0,1,,,,8/13/2018
Strategic Partnership for Livelihood of AB inBev Small Retailers,AB inBev,Grant Proposal,,,,9/19/2018,0,1,,,,12/31/2018
Enhancing access to micro insurance in rural Burkina Faso: a new and innovative marketing approach,Global Innovation Fund,Grant Proposal,,,,4/16/2015,0,1,,,,4/16/2015
Housing microfinance for climate resilience follow up funding,Abdul Latif Jameel Poverty Action Lab (J-PAL),Grant Proposal,,,,10/13/2022,0,1,,,,10/13/2022
Embedded Evidence Capacity within Rwanda and Uganda?s Ministries of Education,Centre of Excellence for Development Impact and Learning (CEDIL),Grant Proposal,,,,5/14/2019,0,1,,,,5/14/2019
Making Foreign Investment in Mining and Agriculture Work for the Local Poor,Economic and Social Research Council (ESRC),Grant Proposal,,,,7/17/2014,0,1,,,,7/17/2014
New Proposal for Womens Political Participation (IPA would receive a subgrant),University of Michigan,Grant Proposal,,,,1/15/2016,0,1,,,,1/15/2016
Low-Cost Randomized Controlled Trial to Drive Effective Social Spending,Arnold Ventures,Grant Proposal,,,,5/31/2018,0,1,,,,5/31/2018
M&E with Ministry of Women,"Ministry of Women and Vulnerable Populations, Peru",Grant Proposal,,,,5/29/2018,0,1,,,,5/29/2018
RTP Uganda Context Study - TTP SA Portion,LEGO Foundation,Grant Award,,,,3/11/2025,1,1,,,,3/11/2025
CEDIL Proposal for Landesa-supported land allocation programs,Centre of Excellence for Development Impact and Learning (CEDIL),Grant Proposal,,,,5/14/2019,0,1,,,,5/14/2019
Does Financial Scarcity Impact Financial Decision Making Ability in High-Income Countries?,Russell Sage Foundation,Grant Proposal,,,,1/9/2017,0,1,,,,1/9/2017
"IGC0005 Recruitment, motivation, and retention effects of teacher performance  pay",International Growth Centre (IGC),Grant Award,,,,2/5/2017,1,1,,,,2/5/2017
Refugee Representation: Public education and local civil society,Harvard University,Grant Proposal,,,,3/17/2023,0,1,,,,12/31/2022
GiveWell and Open Philanthropy request for proposals,GiveWell,Grant Proposal,,,,8/5/2024,0,1,,,,8/5/2024
Increasing Demand for Vaccination Services (Round 23)  - Subcontract,Gates Foundation,Grant Proposal,,,,4/10/2019,0,1,,,,4/10/2019
Increasing Immunization Coverage and Equity through Digitally-Empowered Community Health Workers in Uganda,Living Goods,Grant Proposal,,,,10/16/2018,0,1,,,,10/16/2018
Hungry seasons in Zambia-IGC baseline 2018,International Growth Centre (IGC),Grant Proposal,,,,7/15/2018,0,1,,,,7/19/2018
New Proposal for Secondary School Choice in Ghana (sub-grant),University of Houston,Grant Proposal,,,,10/8/2015,0,1,,,,10/8/2015
The Effect of Economic Empowerment on Gender-Based Violence,World Bank,Grant Proposal,,,,12/9/2015,0,1,,,,12/9/2015
CEGA Proposal for Land Reform,Center for Effective Global Action (CEGA),Grant Proposal,,,,2/21/2017,0,1,,,,2/21/2017
GIZ0804 Leveraging Social Connections: Can existing programmatic information aide targeting of new programs?,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Grant Award,,,,6/26/2015,1,1,,,,8/6/2015
ATAI Fall 2017:Food Constraints (Zambia),Massachusetts Institute of Technology (MIT),Grant Proposal,,,,12/19/2017,0,1,,,,12/19/2017
WBK8179 World Bank 7178179,World Bank,Grant Award,,,,2/4/2016,1,1,,,,6/2/2016
Cycling to School,World Bicycle Relief,Grant Proposal,,,,12/27/2016,0,1,,,,12/27/2016
WBK9194 - Kenya Bridge Academies Project: Logistical Preparation for Digitization and Tracking (Won),World Bank,Grant Award,,,,4/21/2016,1,1,,,,5/3/2016
New Proposal for Clusters Project,Private Enterprise Programme - Zambia,Grant Proposal,,,,4/3/2017,0,1,,,,4/3/2017
GI call #15 for BMI Project in Cote d'Ivoire,Massachusetts Institute of Technology (MIT),Grant Proposal,,,,9/19/2018,0,1,,,,9/21/2018
MCC Annual Program Statement 95332418N0002,Millennium Challenge Corporation (MCC),Grant Proposal,,,,5/31/2019,0,1,,,,5/31/2019
Paytime with Farmerline,Consultative Group to Assist the Poor (CGAP),Grant Proposal,,,,3/31/2017,0,1,,,,3/31/2017
PPE 10: Teacher rotation and student outcomes; Experimental (Uganda),Massachusetts Institute of Technology (MIT),Grant Proposal,,,,6/30/2018,0,1,,,,6/30/2018
Leveraging Curriculum Reform: An Evaluation of In-Service Teacher Training to Support Competency-Based Curriculum Reform,Massachusetts Institute of Technology (MIT),Grant Proposal,,,,3/30/2016,0,1,,,,3/31/2016
"Growing together. Trust, spontaneous clusters and the growth of Micro, Small and Medium Enterprises in cities",Center for Effective Global Action (CEGA),Grant Proposal,,,,2/21/2017,0,1,,,,2/21/2017
IGC Proposal for Urban Property Formalization,International Growth Centre (IGC),Grant Proposal,,,,12/5/2016,0,1,,,,12/5/2016
IGC1409 1-VCU-VZMB-VXXXX-41409,International Growth Centre (IGC),Grant Award,,,,8/8/2016,1,1,,,,11/1/2016
IAF RFE support,Inter-American Foundation,Grant Proposal,,,,2/22/2020,0,1,,,,2/22/2020
Full BMI study proposal to DIV,Business management Invest - Côte d?Ivoire,Grant Proposal,,,,6/2/2019,0,1,,,,5/21/2019
NSF: Contesting Criminal Gang Governance in Medellín: Experimental Impacts of Intensive Municipal Governance and Communi,National Science Foundation (NSF),Grant Proposal,,,,1/15/2018,0,1,,,,1/15/2018
IPV Initiative 2025 - 2028,Wellspring Philanthropic Fund,Grant Proposal,,,,6/27/2025,0,1,,,,10/20/2025
"Minerva: Latin American criminal gangs: How do they organize, when do they govern & how to stop them?",Minerva Research Initiative,Grant Proposal,,,,6/21/2018,0,1,,,,6/21/2018
